ITEM NAME ,URL,PRICE ,RAITING 
"Callas Multipurpose Foldable Laptop Table with Cup Holder | Drawer | Mac Holder | Table Holder Study Table, Breakfast Table, Foldable and Portable/Ergonomic & Rounded Edges/Non-Slip Legs (WA-27-Black)",https://www.amazon.in/Callas-Multipurpose-Breakfast-Ergonomic-WA-27-Black/dp/B08MZQBFLN?_encoding=UTF8&psc=1,₹ 759.00 - ₹ 799.00,4.2
"Minimalist Vitamin C 10% for Brighter Glowing Skin - Stable & Effective Face Serum with pure Ethyl Ascorbic Acid and 1% Acetyl Glucosamine for Even Tone, 30ml",https://www.amazon.in/Minimalist-Vitamin-Brighter-Glowing-Skin/dp/B08MVBF4P8?_encoding=UTF8&psc=1&smid=A3OQ22QWZ4ZJKQ,₹ 664.00,3.8
"Minimalist Sepicalm 3% Face Moisturizer for Oily, Acne Prone & Sensitive Skin - Lightweight, Non comedogenic & soothing with Oats - No Oily or Sticky Feel, 50ml",https://www.amazon.in/Minimalist-Sepicalm-Moisturizer-Prone-Sensitive/dp/B08PKFFWTY?_encoding=UTF8&psc=1&smid=A3OQ22QWZ4ZJKQ,₹ 332.00,4.2
"THINKPOT 2021 Be Kind Compact Motivational Desk Calendar - 6"" X 4""",https://www.amazon.in/THINKPOT-2021-Compact-Motivational-Calendar/dp/B08MLGS98S?_encoding=UTF8&psc=1,₹ 189.00 - ₹ 259.00,4.1
Bold Care Extend - Long Last Spray - Non-Transferable - 20g,https://www.amazon.in/Bold-Care-Extend-Spray-Non-Transferable/dp/B08MQ9851T?_encoding=UTF8&psc=1,₹ 300.00,4.5
"By Nature Hair & Skin Vitamin Gummies - with Biotin, Folic Acid, Vitamin A, C, E, B6, B7, B9 & B12 for Hair Growth, Glowing Skin & Strong Nails",https://www.amazon.in/Nature-Hair-Skin-Vitamin-Gummies/dp/B08NSQGKM3?_encoding=UTF8&psc=1,₹ 350.00,5.0
"TNW-THE NATURAL WASH Vitamin C Face Serum with Mulberry, Carrot, Tomato Extract & Hyaluronic Acid For Skin Brightening, Youthful, Glowing, Improved & Radiant Glow Suits all Skin Types - 30 ml",https://www.amazon.in/TNW-NATURAL-WASH-Hyaluronic-Brightening/dp/B08L3TTG42?_encoding=UTF8&psc=1,₹ 479.00,3.5
"PeeBuddy 100 ml Odour and Germs Eliminating Toilet Spray | Before & After Toilet Seat Sanitiser, Disinfectant & Deodoriser | Vanilla Fragrance | Kills 99.9% Germs",https://www.amazon.in/Eliminating-Sanitiser-Disinfectant-Deodoriser-Fragrance/dp/B08LSJW94Y?_encoding=UTF8&psc=1,₹ 175.00 - ₹ 485.00,4.8
Nutty Gritties California Almonds Badam - 1Kg,https://www.amazon.in/Nutty-Gritties-California-Almonds-Badam/dp/B08MWK4LMW?_encoding=UTF8&psc=1,₹ 849.00,Item Not famous
Almo Caldo Ultra-Warm Thermal Bottom,https://www.amazon.in/ALMO-Caldo-Ultra-Warm-Thermal-Bottom/dp/B08MW8VP7P?_encoding=UTF8&psc=1,₹ 455.00,4.0
FEROMONES Fertilizer Sticks for Plants - 100 Stick Fertilizer for Plants - All Purpose Plant Fertilizer Sticks for Pot Plants,https://www.amazon.in/FEROMONES-Fertilizer-Sticks-Plants-Purpose/dp/B08NWDKYVC?_encoding=UTF8&psc=1,₹ 329.00,3.5
"THINKPOT 2021 Artist Easel Desk Calendar - 4.5"" X 4.5""",https://www.amazon.in/THINKPOT-2021-Artist-Easel-Calendar/dp/B08ML48BP8?_encoding=UTF8&psc=1,₹ 299.00 - ₹ 399.00,5.0
The Man Company Nourishing Lip Balm -Vitamin E & Almond oil for Dry Lips | Made In India,https://www.amazon.in/Man-Company-Nourishing-Vitamin-Almond/dp/B08P7PZTDM?_encoding=UTF8&psc=1,Item Not Available,3.6
"THE LOVE CO. Mesmerising Shower Gel, Oudh Accord & Lime and Narangi | Foaming and Moisturising | Winter Freshness | For Men and Women Combo Pack 300Ml",https://www.amazon.in/LOVE-CO-Mesmerising-Moisturising-Freshness/dp/B08R3Y4P2F?_encoding=UTF8&psc=1,"₹ 299.00 - ₹ 1,499.00",4.6
ANNI DESIGNER Women's Chiffon Floral Printed Saree With,https://www.amazon.in/ANNI-DESIGNER-Chiffon-Printed-ZIVA-BLACK_FREE/dp/B08Q42LSCC?_encoding=UTF8&psc=1,₹ 399.00 - ₹ 429.00,3.0
Chkokko Women Scarf Printed Cotton Scarves,https://www.amazon.in/Chkokko-Women-Printed-Cotton-Scarves/dp/B08QV9SZHP?_encoding=UTF8&psc=1,₹ 279.00 - ₹ 899.00,4.7
"Wellbeing Nutrition USDA Organic Himalayan Apple Cider Vinegar (2X Mother) with Amla (Vitamin C for Immunity), Turmeric, Cinnamon & Black Pepper | Raw, Unfiltered, Unpasteurized - 500ml",https://www.amazon.in/Wellbeing-Nutrition-Himalayan-Unfiltered-Unpasteurized/dp/B08PVSC9NF?_encoding=UTF8&psc=1,₹ 399.00,Item Not famous
CHKOKKO Women Yoga Track Pants Stretchable Sports Tights,https://www.amazon.in/CHKOKKO-Women-Stretchable-Sports-Tights/dp/B08LKDZ8CQ?_encoding=UTF8&psc=1,₹ 579.00,4.0
The Man Company Caffeine Face wash to Deep Cleanse with Coffee Arabica & Green Tea - 100 ml,https://www.amazon.in/Man-Company-Caffeine-Cleanse-Arabica/dp/B08M3NFX7X?_encoding=UTF8&psc=1,₹ 264.00,4.9
"TNW-THE NATURAL WASH Pure Aloe Vera Gold Gel with 24 Carat Gold Leaves for Glowing & Radiant Skin From Freshly Cut Aloe Plant, Organic Soothing & Hydrating Gel for Face & Body - 100 g",https://www.amazon.in/TNW-NATURAL-WASH-Soothing-Hydrating/dp/B08L14RB9W?_encoding=UTF8&psc=1,₹ 329.00 - ₹ 899.00,4.6
"Artha Natural - Butter Onion Popcorn Seasoning, Shaker Jar Perfect for Pop-Corn - 100gm [Tasteful Butter Onion Seasoning]",https://www.amazon.in/Artha-Natural-Seasoning-Pop-Corn-Tasteful/dp/B08LNQ4QC2?_encoding=UTF8&psc=1,₹ 210.00 - ₹ 880.00,4.4
"The Ink Bucket - 2021 Planner | Fresh Botanical Illustrations & Motivational Quotes | Vision Board, Habit Tracker, Thoughtful Prompts, Goal Tracker | 100GSM | Size 22cm x 16cm (Tropical Berry)",https://www.amazon.in/Ink-Bucket-Illustrations-Motivational-Thoughtful/dp/B08NS3W8G4?_encoding=UTF8&psc=1,"₹ 1,899.00",4.7
Pro360 Weight Gainer Chocolate Flavour| More Calorie |Dietary Supplement |Ready To Serve |Weight Gain For Men & Women- 500 Gm,https://www.amazon.in/Chocolate-Flavour-Calorie-Dietary-Supplement/dp/B08LBP75QF?_encoding=UTF8&psc=1,₹ 675.00,4.5
Xech Foldable LCD E-Writer and 12 Digit Calculator DigiFold with Stylus 2 in 1 LCD Writing Tablet E-Note Pad Drawing Handwriting Board Paperless Memo Calculator (Black),https://www.amazon.in/Xech-Foldable-Calculator-Handwriting-Paperless/dp/B08N1B6JYN?_encoding=UTF8&psc=1,₹ 899.00,4.2
Xech 12W Fast Charging Cable Ultimus Supports Type C to Type C Micro USB Type A Multi Pin Connector 2.4A Fast Charge Fabric Braided Extra Strong Power Cables for Smartphones Tablets 1 Meter (Grey),https://www.amazon.in/Xech-Charging-Supports-Connector-Smartphones/dp/B08NDJY7JS?_encoding=UTF8&psc=1,₹ 499.00 - ₹ 799.00,3.9
"STITCHNEST™ Ethnic Circus Digitally Printed 4 Seater Table Cover, 40 x 60 Inches",https://www.amazon.in/STITCHNESTTM-Ethnic-Circus-Digitally-Printed/dp/B08QFGLLXQ?_encoding=UTF8&psc=1,₹ 299.00 - ₹ 499.00,2.9
DailyObjects Desk Trio Bundle Turf Desk Mat|Vegan Tray|Orb Mouse Pad - Limited Edition,https://www.amazon.in/DailyObjects-Desk-Bundle-Vegan-Mouse/dp/B08NXDJ3T8?_encoding=UTF8&psc=1,"₹ 1,599.00 - ₹ 2,499.00",4.7
LEANBEING Herb aveda Kala gond Pure jadibooti (100g),https://www.amazon.in/LEANBEING-Herb-aveda-Kala-jadibooti/dp/B08L9LLFB6?_encoding=UTF8&psc=1,₹ 599.00,3.7
The Man Company Caffeine Face Moisturiser with Coffee Arabica & Shea Butter - 50 gm,https://www.amazon.in/Man-Company-Caffeine-Moisturiser-Arabica/dp/B08M3QK2HJ?_encoding=UTF8&psc=1,₹ 279.00,4.8
OxiClear N99 Activated Carbon Refill Filters,https://www.amazon.in/OxiClear-Activated-Carbon-Refill-Filters/dp/B08NG64S8C?_encoding=UTF8&psc=1,Item Not Available,5.0
CHKOKKO Womens Woolen Multicolored Stylish Stoles,https://www.amazon.in/CHKOKKO-Womens-Woolen-Multicolored-Stylish/dp/B08NYQR6FD?_encoding=UTF8&psc=1,₹ 299.00 - ₹ 899.00,4.7
